nba_id,player_name,gametime,pos,opp,sal,proj,l3,l5,ceil,lopp,opp_rank,pts,ast,reb,current_time
63737476,Nikola Jokic,11:00 PM EST @ LAC,C,LAC,$12.2K,65.8,71,62,76.5,81.75,5,30.8,8.6,14.2,"Wed, November 15th at 1:56 AM EST"
65276158,Joel Embiid,8:00 PM EST @ IND,C,IND,$11.5K,65.1,59.9,57.4,76.5,66.75,28,34.2,6,12.3,"Wed, November 15th at 1:56 AM EST"
105351200,Luka Doncic,9:00 PM EST vs NOP,PG,NOP,$11.8K,57.8,55.1,59.6,68.8,51.5,27,30.5,8,8,"Wed, November 15th at 1:56 AM EST"
105406648,Shai Gilgeous-Alexander,8:30 PM EST @ SAS,PG,SAS,$10.3K,56.2,53.6,51.2,65.9,57.5,29,30.3,6.4,7.4,"Wed, November 15th at 1:56 AM EST"
64832574,Anthony Davis,11:30 PM EST @ MEM,C,MEM,$10.1K,53.2,47.8,51.2,64.5,63,14,24.4,3.7,12.3,"Wed, November 15th at 1:56 AM EST"
95245802,Bam Adebayo,8:00 PM EST vs CHA,C,CHA,$9.0K,50.1,51.5,42.5,57.9,30.5,29,24.5,4,11.1,"Wed, November 15th at 1:56 AM EST"
191427289,Tyrese Haliburton,8:00 PM EST vs PHI,PG,PHI,$10.2K,49.6,53.8,50,59.6,59.25,15,22.8,11.7,3.7,"Wed, November 15th at 1:56 AM EST"
190387639,LaMelo Ball,8:00 PM EST @ MIA,PG,MIA,$10.4K,48.8,50,42.9,58.6,46.25,16,23,8.9,5.7,"Wed, November 15th at 1:56 AM EST"
63474098,LeBron James,11:30 PM EST @ MEM,SF,MEM,$9.8K,48.2,49,48.6,56.7,50.25,21,24.5,5.3,8.2,"Wed, November 15th at 1:56 AM EST"
190255950,Tyrese Maxey,8:00 PM EST @ IND,PG,IND,$8.9K,47.2,55.5,47.4,58.8,74.75,20,26,6.6,5,"Wed, November 15th at 1:56 AM EST"
95190354,Lauri Markkanen,10:00 PM EST @ POR,SF,POR,$8.7K,46,40.4,42,55.5,59.5,22,26,1.7,9.2,"Wed, November 15th at 1:56 AM EST"
63467167,Kyrie Irving,9:00 PM EST vs NOP,PG,NOP,$8.7K,45.1,45.5,45.5,54.7,58,27,23.7,7,4.5,"Wed, November 15th at 1:56 AM EST"
