draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority
58155,19793533,Ty-Shon,Alexander,Ty-Shon Alexander,T. Alexander,1060385,528600,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32949.png,https://dkn.gs/sports/images/nba/teams/160/32949.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,-2,11th,11,219,-,"",Medium,21,PHX,1060385-5770422,,,,,,
58155,19793536,Chaundee,Brown Jr.,Chaundee Brown Jr.,C. Brown Jr.,1060954,591153,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32927.png,https://dkn.gs/sports/images/nba/teams/160/32927.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,-2,-,"",219,-,"",,13,LAL,1060954-5770422,,,,,,
58155,19793540,Deandre,Ayton,Deandre Ayton,D. Ayton,1061507,33312,C,462,6700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33312.png,https://dkn.gs/sports/images/nba/players/160/33312.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,219,27.0,27.0,-2,-,"",,21,PHX,1061507-5770422,,,,,,
58155,19793542,Davion,Mitchell,Davion Mitchell,D. Mitchell,1061659,591009,PG,458,3400,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32954.png,https://dkn.gs/sports/images/nba/teams/160/32954.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,219,10.3,10.3,-2,8th,8,Low,23,SAC,1061659-5773497,,,,,,
58155,19793545,Matt,Coleman III,Matt Coleman III,M. Coleman III,1071925,592442,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32954.png,https://dkn.gs/sports/images/nba/teams/160/32954.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,-2,-,"",219,-,"",,23,SAC,1071925-5773497,,,,,,
58155,19793549,Marvin,Bagley III,Marvin Bagley III,M. Bagley III,1076209,33347,PF/C,461,5900,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33347.png,https://dkn.gs/sports/images/nba/players/160/33347.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,-2,20th,20,219,-,"",High,23,SAC,1076209-5773497,,,,,,
58155,19793553,Emanuel,Terry,Emanuel Terry,E. Terry,1122290,58981,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32954.png,https://dkn.gs/sports/images/nba/teams/160/32954.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,-2,20th,20,219,-,"",High,23,SAC,1122290-5773497,,,,,,
58155,19793556,Talen,Horton-Tucker,Talen Horton-Tucker,T. Horton-Tucker,1132824,33128,SG/SF,459,3800,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33128.png,https://dkn.gs/sports/images/nba/players/160/33128.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,-2,18th,18,219,-,"",Medium,13,LAL,1132824-5770422,,,,,,
58155,19793561,Tyrese,Haliburton,Tyrese Haliburton,T. Haliburton,1132825,488094,PG/SG,458,6000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/teams/50/32954.png,https://dkn.gs/sports/images/nba/teams/160/32954.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,219,12.0,12.0,-2,8th,8,Low,23,SAC,1132825-5773497,,,,,,
58155,19793565,Jalen,Smith,Jalen Smith,J. Smith,1133792,527222,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32949.png,https://dkn.gs/sports/images/nba/teams/160/32949.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,-2,-,"",219,-,"",,21,PHX,1133792-5770422,,,,,,
