name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
L. James Q,$10.2k,SF/PF,1,LAL,HOU,25,-10,219,114.5,39.0,47.2,61.3,48.8,4.78
R. Westbrook,$9.9k,PG,1,LAL,HOU,19,-10,219,114.5,32.5,49.4,64.0,47.8,4.82
A. Davis Q,$9.7k,PF/C,1,LAL,HOU,25,-10,219,114.5,38.3,46.9,70.8,46.0,4.74
J. Valanciunas,$8.5k,C,2,NO,PHO,13,+11,214.5,101.8,43.8,51.6,60.3,43.0,5.06
D. Booker,$8.0k,PG/SG,2,PHO,NO,23,-11,214.5,112.8,24.5,38.4,53.5,40.0,5
Christian Wood,$8.3k,C,1,HOU,LAL,22,+10,219,104.5,32.3,41.5,61.0,38.3,4.61
Chris Paul,$7.6k,PG,2,PHO,NO,23,-11,214.5,112.8,24.5,38.5,53.8,37.8,4.97
D. Ayton Q,$6.8k,C,2,PHO,NO,18,-11,214.5,112.8,14.8,34.3,53.8,34.5,5.07
K. Porter Jr.,$6.2k,PG,1,HOU,LAL,27,+10,219,104.5,12.5,29.1,47.3,31.5,5.08
D. Graham Q,$6.4k,PG,2,NO,PHO,18,+11,214.5,101.8,20.8,33.1,40.8,31.5,4.92
N. Alexander-Walker,$6.7k,PG/SG,2,NO,PHO,18,+11,214.5,101.8,16.3,28.3,38.5,29.8,4.44
J. Green,$5.8k,PG/SG,1,HOU,LAL,27,+10,219,104.5,17.8,26.4,48.0,29.0,5
M. Bridges,$5.2k,SG/SF,2,PHO,NO,20,-11,214.5,112.8,19.8,26.5,40.3,25.0,4.81
Jae Crowder,$4.8k,PF,2,PHO,NO,18,-11,214.5,112.8,14.5,19.8,24.3,24.0,5
Jae'Sean Tate Q,$5.0k,SF/PF,1,HOU,LAL,4,+10,219,104.5,11.8,24.0,44.5,23.8,4.75
Josh Hart,$4.9k,SF/PF,2,NO,PHO,24,+11,214.5,101.8,9.0,28.6,42.8,23.0,4.69
C. Anthony,$5.3k,PF,1,LAL,HOU,25,-10,219,114.5,9.5,29.8,42.3,22.3,4.2
H. Jones,$3.5k,SF,2,NO,PHO,24,+11,214.5,101.8,8.5,16.5,28.8,21.3,6.07
D. Theis Q,$4.1k,PF/C,1,HOU,LAL,26,+10,219,104.5,6.8,15.3,33.5,21.0,5.12
A. Sengun,$4.3k,C,1,HOU,LAL,22,+10,219,104.5,13.3,21.5,26.8,20.8,4.83
Kent Bazemore,$4.2k,SF,1,LAL,HOU,25,-10,219,114.5,14.8,18.1,22.5,19.8,4.7
Eric Gordon,$4.9k,SG/SF,1,HOU,LAL,7,+10,219,104.5,9.0,22.5,33.8,18.5,3.78
C. Johnson,$3.3k,SF/PF,2,PHO,NO,2,-11,214.5,112.8,4.3,14.6,24.5,17.8,5.38
F. Mason III,$3.8k,PG,263,LAL,HOU,19,-10,219,114.5,0.0,11.3,24.8,17.0,4.47
J. Hayes,$3.3k,C,2,NO,PHO,13,+11,214.5,101.8,9.0,13.8,18.8,15.5,4.7
Trey Murphy III,$3.2k,SG,2,NO,PHO,14,+11,214.5,101.8,5.8,11.5,15.3,15.3,4.77
J. McGee,$3.4k,C,2,PHO,NO,18,-11,214.5,112.8,14.0,17.2,20.8,14.5,4.26
Malik Monk,$3.4k,SG,1,LAL,HOU,6,-10,219,114.5,-1.0,14.2,26.8,14.0,4.12
D. Nwaba,$3.1k,SF,1,HOU,LAL,4,+10,219,104.5,1.3,9.7,22.8,13.8,4.44
