draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash
58954,20073487,Isaiah,Hartenstein,Isaiah Hartenstein,I. Hartenstein,1057004,33079,C,476,3900,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33079.png,https://dkn.gs/sports/images/nba/players/160/33079.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,17.5,17.5,-2,8th,8,Low,,,12,LAC,1057004-5773749
58954,20073496,Moses,Wright,Moses Wright,M. Wright,1060920,592433,SF/PF,476,1500,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32925.png,https://dkn.gs/sports/images/nba/teams/160/32925.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,-2,11th,11,219,-,"",Medium,,,12,LAC,1060920-5773749
58954,20073485,Anfernee,Simons,Anfernee Simons,A. Simons,1121307,33330,PG/SG,476,6300,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33330.png,https://dkn.gs/sports/images/nba/players/160/33330.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,22.4,22.4,-2,16th,16,Medium,,,22,POR,1121307-5773749
58954,20073506,CJ,Elleby,CJ Elleby,C. Elleby,1135177,527256,SG/SF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32952.png,https://dkn.gs/sports/images/nba/teams/160/32952.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,2.7,2.7,-2,2nd,2,Low,,,22,POR,1135177-5773749
58954,20073509,Jason,Preston,Jason Preston,J. Preston,1137126,591038,PG,476,1500,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32925.png,https://dkn.gs/sports/images/nba/teams/160/32925.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,-2,23rd,23,219,-,"",High,,,12,LAC,1137126-5773749
58954,20073486,Nassir,Little,Nassir Little,N. Little,1138391,33332,SF/PF,476,6000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33332.png,https://dkn.gs/sports/images/nba/players/160/33332.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,16.9,16.9,-2,2nd,2,Low,,,22,POR,1138391-5773749
58954,20073508,Trendon,Watford,Trendon Watford,T. Watford,1176529,591097,C,476,1500,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32952.png,https://dkn.gs/sports/images/nba/teams/160/32952.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,-2,17th,17,219,-,"",Medium,,,22,POR,1176529-5773749
58954,20073507,Keon,Johnson,Keon Johnson,K. Johnson,1231792,591026,SG,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32925.png,https://dkn.gs/sports/images/nba/teams/160/32925.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,0.0,0.0,-2,12th,12,Medium,,,12,LAC,1231792-5773749
58954,20073494,Greg,Brown,Greg Brown,G. Brown,1243740,591047,PF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32952.png,https://dkn.gs/sports/images/nba/teams/160/32952.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,6.7,6.7,-2,6th,6,Low,,,22,POR,1243740-5773749
58954,20073488,Brandon,Boston Jr.,Brandon Boston Jr.,B. Boston Jr.,1245906,591055,SG,476,3600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32925.png,https://dkn.gs/sports/images/nba/teams/160/32925.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,2.6,2.6,-2,12th,12,Medium,,,12,LAC,1245906-5773749
58954,20073504,Jay,Scrubb,Jay Scrubb,J. Scrubb,1257432,527265,SG,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32925.png,https://dkn.gs/sports/images/nba/teams/160/32925.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,3.9,3.9,-2,12th,12,Medium,,,12,LAC,1257432-5773749
58954,20073501,Patrick,Patterson,Patrick Patterson,P. Patterson,399599,33101,PF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33101.png,https://dkn.gs/sports/images/nba/players/160/33101.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,-2,6th,6,219,-,"",Low,,,22,POR,399599-5773749
58954,20073484,Serge,Ibaka,Serge Ibaka,S. Ibaka,456450,33373,PF/C,476,6600,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33373.png,https://dkn.gs/sports/images/nba/players/160/33373.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,4.3,4.3,-2,11th,11,Medium,,,12,LAC,456450-5773749
58954,20073477,Nicolas,Batum,Nicolas Batum,N. Batum,456451,32930,SF/PF,476,9900,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/32930.png,https://dkn.gs/sports/images/nba/players/160/32930.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,26.1,26.1,-2,24th,24,High,100,true,12,LAC,456451-5773749
58954,20073475,Reggie,Jackson,Reggie Jackson,R. Jackson,462444,33034,PG,476,11400,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33034.png,https://dkn.gs/sports/images/nba/players/160/33034.png,"","",5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,5773749,POR @ LAC,POR, @ ,LAC,TRUE,2021-11-10T03:00:00.0000000Z,219,30.1,30.1,-2,23rd,23,High,100,true,12,LAC,462444-5773749
