draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash
59316,20162376,Frank,Ntilikina,Frank Ntilikina,F. Ntilikina,1056995,33237,PG/SG,458,3000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33237.png,https://dkn.gs/sports/images/nba/players/160/33237.png,"","",5772237,DEN @ DAL,DEN,TRUE, @ ,DAL,2021-11-16T01:00:00.0000000Z,5772237,DEN @ DAL,DEN,TRUE, @ ,DAL,2021-11-16T01:00:00.0000000Z,219,10.8,10.8,-2,21st,21,Medium,6,DAL,1056995-5772237
59316,20162964,Vlatko,Cancar,Vlatko Cancar,V. Cancar,1057007,33022,SF,460,3000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33022.png,https://dkn.gs/sports/images/nba/players/160/33022.png,"","",5772237,DEN @ DAL,DEN,TRUE, @ ,DAL,2021-11-16T01:00:00.0000000Z,5772237,DEN @ DAL,DEN,TRUE, @ ,DAL,2021-11-16T01:00:00.0000000Z,-2,6th,6,219,-,"",Low,7,DEN,1057007-5772237
59316,20162880,Ty-Shon,Alexander,Ty-Shon Alexander,T. Alexander,1060385,528600,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/528600.png,https://dkn.gs/sports/images/nba/players/160/528600.png,"","",5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,-2,25th,25,219,-,"",High,21,PHX,1060385-5775393
59316,20162340,Mitch,Ballock,Mitch Ballock,M. Ballock,1060387,592480,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/592480.png,https://dkn.gs/sports/images/nba/players/160/592480.png,"","",5771727,BOS @ CLE,BOS,TRUE, @ ,CLE,2021-11-16T00:00:00.0000000Z,5771727,BOS @ CLE,BOS,TRUE, @ ,CLE,2021-11-16T00:00:00.0000000Z,-2,21st,21,219,-,"",Medium,5,CLE,1060387-5771727
59316,20162763,Naji,Marshall,Naji Marshall,N. Marshall,1060704,535788,PF,461,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/535788.png,https://dkn.gs/sports/images/nba/players/160/535788.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,219,10.6,10.6,-2,5th,5,Low,3,NOP,1060704-5772855
59316,20162200,Aamir,Simms,Aamir Simms,A. Simms,1060906,591859,SF/PF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591859.png,https://dkn.gs/sports/images/nba/players/160/591859.png,"","",5775039,IND @ NYK,IND,TRUE, @ ,NYK,2021-11-16T00:30:00.0000000Z,5775039,IND @ NYK,IND,TRUE, @ ,NYK,2021-11-16T00:30:00.0000000Z,-2,12th,12,219,-,"",Medium,18,NYK,1060906-5775039
59316,20161577,Gary,Trent Jr.,Gary Trent Jr.,G. Trent Jr.,1060908,33331,SG/SF,459,5800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33331.png,https://dkn.gs/sports/images/nba/players/160/33331.png,"","",5777721,TOR @ POR,TOR,TRUE, @ ,POR,2021-11-16T03:00:00.0000000Z,5777721,TOR @ POR,TOR,TRUE, @ ,POR,2021-11-16T03:00:00.0000000Z,219,28.9,28.9,-2,10th,10,Medium,28,TOR,1060908-5777721
59316,20161471,Wendell,Carter Jr.,Wendell Carter Jr.,W. Carter Jr.,1060912,32972,PF/C,461,6900,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/32972.png,https://dkn.gs/sports/images/nba/players/160/32972.png,"","",5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,219,33.3,33.3,-2,21st,21,Medium,19,ORL,1060912-5770725
59316,20162655,Jose,Alvarado,Jose Alvarado,J. Alvarado,1060919,591175,PG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591175.png,https://dkn.gs/sports/images/nba/players/160/591175.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,219,4.5,4.5,-2,9th,9,Low,3,NOP,1060919-5772855
59316,20162404,Chaundee,Brown Jr.,Chaundee Brown Jr.,C. Brown Jr.,1060954,591153,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591153.png,https://dkn.gs/sports/images/nba/players/160/591153.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,-2,2nd,2,219,-,"",Low,13,LAL,1060954-5773815
59316,20162216,Olivier,Sarr,Olivier Sarr,O. Sarr,1060956,592423,SF/PF,460,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32942.png,https://dkn.gs/sports/images/nba/teams/160/32942.png,"","",5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,-2,5th,5,219,-,"",Low,25,OKC,1060956-5776023
59316,20162889,Marcus,Garrett,Marcus Garrett,M. Garrett,1060962,591165,SG,459,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/591165.png,https://dkn.gs/sports/images/nba/players/160/591165.png,"","",5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,219,1.5,1.5,-2,13th,13,Medium,14,MIA,1060962-5776023
59316,20161347,Trae,Young,Trae Young,T. Young,1060978,32850,PG,458,9500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32850.png,https://dkn.gs/sports/images/nba/players/160/32850.png,"","",5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,219,46.3,46.3,-2,6th,6,Low,1,ATL,1060978-5770725
59316,20162595,RJ,Nembhard,RJ Nembhard,R. Nembhard,1060982,591148,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591148.png,https://dkn.gs/sports/images/nba/players/160/591148.png,"","",5771727,BOS @ CLE,BOS,TRUE, @ ,CLE,2021-11-16T00:00:00.0000000Z,5771727,BOS @ CLE,BOS,TRUE, @ ,CLE,2021-11-16T00:00:00.0000000Z,219,3.5,3.5,-2,10th,10,Medium,5,CLE,1060982-5771727
59316,20162116,Luka,Garza,Luka Garza,L. Garza,1061057,591056,C,462,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/591056.png,https://dkn.gs/sports/images/nba/players/160/591056.png,"","",5772093,SAC @ DET,SAC,TRUE, @ ,DET,2021-11-16T00:00:00.0000000Z,5772093,SAC @ DET,SAC,TRUE, @ ,DET,2021-11-16T00:00:00.0000000Z,219,7.9,7.9,-2,16th,16,Medium,8,DET,1061057-5772093
59316,20161530,Deandre,Ayton,Deandre Ayton,D. Ayton,1061507,33312,C,462,6300,Q,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33312.png,https://dkn.gs/sports/images/nba/players/160/33312.png,"","",5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,219,34.3,34.3,-2,29th,29,High,21,PHX,1061507-5775393
59316,20162563,Tyler,Bey,Tyler Bey,T. Bey,1061518,527241,SG/SF,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527241.png,https://dkn.gs/sports/images/nba/players/160/527241.png,"","",5774769,HOU @ MEM,HOU,TRUE, @ ,MEM,2021-11-16T01:00:00.0000000Z,5774769,HOU @ MEM,HOU,TRUE, @ ,MEM,2021-11-16T01:00:00.0000000Z,-2,-,"",219,-,"",,10,HOU,1061518-5774769
59316,20162619,McKinley,Wright IV,McKinley Wright IV,M. Wright IV,1061526,591857,PG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591857.png,https://dkn.gs/sports/images/nba/players/160/591857.png,"","",5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,219,3.0,3.0,-2,26th,26,High,16,MIN,1061526-5775393
59316,20162464,Ethan,Thompson,Ethan Thompson,E. Thompson,1061538,591821,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591821.png,https://dkn.gs/sports/images/nba/players/160/591821.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,-2,19th,19,219,-,"",Medium,4,CHI,1061538-5773815
59316,20162790,KZ,Okpala,KZ Okpala,K. Okpala,1061544,33165,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33165.png,https://dkn.gs/sports/images/nba/players/160/33165.png,"","",5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,219,1.5,1.5,-2,29th,29,High,14,MIA,1061544-5776023
59316,20162808,Chris,Smith,Chris Smith,C. Smith,1061552,592409,SG,459,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/592409.png,https://dkn.gs/sports/images/nba/players/160/592409.png,"","",5772093,SAC @ DET,SAC,TRUE, @ ,DET,2021-11-16T00:00:00.0000000Z,5772093,SAC @ DET,SAC,TRUE, @ ,DET,2021-11-16T00:00:00.0000000Z,-2,24th,24,219,-,"",High,8,DET,1061552-5772093
59316,20161834,Herbert,Jones,Herbert Jones,H. Jones,1061638,591040,PF,461,3600,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591040.png,https://dkn.gs/sports/images/nba/players/160/591040.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,219,16.5,16.5,-2,5th,5,Low,3,NOP,1061638-5772855
59316,20162428,John,Petty Jr.,John Petty Jr.,J. Petty Jr.,1061640,591145,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32938.png,https://dkn.gs/sports/images/nba/teams/160/32938.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,-2,23rd,23,219,-,"",High,3,NOP,1061640-5772855
59316,20161565,Collin,Sexton,Collin Sexton,C. Sexton,1061642,32987,PG,458,5900,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32987.png,https://dkn.gs/sports/images/nba/players/160/32987.png,"","",5771727,BOS @ CLE,BOS,TRUE, @ ,CLE,2021-11-16T00:00:00.0000000Z,5771727,BOS @ CLE,BOS,TRUE, @ ,CLE,2021-11-16T00:00:00.0000000Z,219,24.1,24.1,-2,10th,10,Medium,5,CLE,1061642-5771727
59316,20161728,Daniel,Gafford,Daniel Gafford,D. Gafford,1061647,32976,C,462,4300,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32976.png,https://dkn.gs/sports/images/nba/players/160/32976.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,219,19.0,19.0,-2,13th,13,Medium,27,WAS,1061647-5772855
59316,20162019,Chuma,Okeke,Chuma Okeke,C. Okeke,1061658,33281,SF/PF,460,3100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33281.png,https://dkn.gs/sports/images/nba/players/160/33281.png,"","",5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,219,12.6,12.6,-2,24th,24,High,19,ORL,1061658-5770725
59316,20161720,Davion,Mitchell,Davion Mitchell,D. Mitchell,1061659,591009,PG,458,4400,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591009.png,https://dkn.gs/sports/images/nba/players/160/591009.png,"","",5772093,SAC @ DET,SAC,TRUE, @ ,DET,2021-11-16T00:00:00.0000000Z,5772093,SAC @ DET,SAC,TRUE, @ ,DET,2021-11-16T00:00:00.0000000Z,219,20.3,20.3,-2,5th,5,Low,23,SAC,1061659-5772093
59316,20161582,Michael,Porter Jr.,Michael Porter Jr.,M. Porter Jr.,1061724,33026,SF,460,5800,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33026.png,https://dkn.gs/sports/images/nba/players/160/33026.png,"","",5772237,DEN @ DAL,DEN,TRUE, @ ,DAL,2021-11-16T01:00:00.0000000Z,5772237,DEN @ DAL,DEN,TRUE, @ ,DAL,2021-11-16T01:00:00.0000000Z,219,23.6,23.6,-2,6th,6,Low,7,DEN,1061724-5772237
59316,20162236,Jeremiah,Tilmon,Jeremiah Tilmon,J. Tilmon,1061726,591867,SF/PF,460,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32945.png,https://dkn.gs/sports/images/nba/teams/160/32945.png,"","",5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,5770725,ORL @ ATL,ORL,TRUE, @ ,ATL,2021-11-16T00:30:00.0000000Z,-2,1st,1,219,-,"",Low,19,ORL,1061726-5770725
59316,20162328,Jordan,Goodwin,Jordan Goodwin,J. Goodwin,1062104,591847,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591847.png,https://dkn.gs/sports/images/nba/players/160/591847.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,-2,14th,14,219,-,"",Medium,27,WAS,1062104-5772855
59316,20162324,Jordan,Schakel,Jordan Schakel,J. Schakel,1062275,592415,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/592415.png,https://dkn.gs/sports/images/nba/players/160/592415.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,-2,14th,14,219,-,"",Medium,27,WAS,1062275-5772855
59316,20161334,Ja,Morant,Ja Morant,J. Morant,1065906,33147,PG,458,10000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33147.png,https://dkn.gs/sports/images/nba/players/160/33147.png,"","",5774769,HOU @ MEM,HOU,TRUE, @ ,MEM,2021-11-16T01:00:00.0000000Z,5774769,HOU @ MEM,HOU,TRUE, @ ,MEM,2021-11-16T01:00:00.0000000Z,219,48.5,48.5,-2,8th,8,Low,29,MEM,1065906-5774769
59316,20162099,Justin,Jaworski,Justin Jaworski,J. Jaworski,1066526,591881,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32942.png,https://dkn.gs/sports/images/nba/teams/160/32942.png,"","",5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,5776023,MIA @ OKC,MIA,TRUE, @ ,OKC,2021-11-16T01:00:00.0000000Z,-2,8th,8,219,-,"",Low,25,OKC,1066526-5776023
59316,20162364,Isaiah,Miller,Isaiah Miller,I. Miller,1066709,591855,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591855.png,https://dkn.gs/sports/images/nba/players/160/591855.png,"","",5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,5775393,PHX @ MIN,PHX,TRUE, @ ,MIN,2021-11-16T01:00:00.0000000Z,-2,15th,15,219,-,"",Medium,16,MIN,1066709-5775393
59316,20161746,Daniel,Theis,Daniel Theis,D. Theis,1066725,32879,PF/C,461,4200,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32879.png,https://dkn.gs/sports/images/nba/players/160/32879.png,"","",5774769,HOU @ MEM,HOU,TRUE, @ ,MEM,2021-11-16T01:00:00.0000000Z,5774769,HOU @ MEM,HOU,TRUE, @ ,MEM,2021-11-16T01:00:00.0000000Z,219,17.9,17.9,-2,27th,27,High,10,HOU,1066725-5774769
59316,20162356,M.J.,Walker,M.J. Walker,M. Walker,1067656,591860,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591860.png,https://dkn.gs/sports/images/nba/players/160/591860.png,"","",5775039,IND @ NYK,IND,TRUE, @ ,NYK,2021-11-16T00:30:00.0000000Z,5775039,IND @ NYK,IND,TRUE, @ ,NYK,2021-11-16T00:30:00.0000000Z,-2,16th,16,219,-,"",Medium,18,NYK,1067656-5775039
59316,20161561,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,N. Alexander-Walker,1067668,33225,PG/SG,458,5900,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33225.png,https://dkn.gs/sports/images/nba/players/160/33225.png,"","",5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,5772855,NOP @ WAS,NOP,TRUE, @ ,WAS,2021-11-16T00:00:00.0000000Z,219,29.3,29.3,-2,1st,1,Low,3,NOP,1067668-5772855
