abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
K. Durant,Kevin Durant,SF/PF,GS,49.0,"$10,600",4.62,36.38,27.9,8.1,5.8,0.9,1.1,3.3
S. Curry,Stephen Curry,PG,GS,47.5,"$10,800",4.4,34.08,29.9,5.6,6.5,1.2,0.2,3.1
P. George,Paul George,SG/SF,SA,46.1,"$10,000",4.61,35.11,26.9,7.2,5.5,1.4,0.5,3.4
J. Harden,James Harden,SG/PG,GS,44.2,"$10,200",4.33,36.70,18.6,8.1,9.3,1.2,0.7,3.8
D. Mitchell,Donovan Mitchell,SG/PG,PHI,42.1,"$8,800",4.78,34.32,26.9,4.3,5.6,1.1,0.3,2.6
R. Gobert,Rudy Gobert,C,PHI,41.2,"$8,300",4.96,33.36,14.1,14.3,1.4,0.7,2.5,1.8
D. Murray,Dejounte Murray,PG/SG,SA,39.6,"$9,800",4.04,33.03,18.1,7.3,6.4,1.5,0.2,2.0
A. Drummond,Andre Drummond,C,PHI,38.0,"$8,500",4.47,34.45,12.1,12.7,2.9,1.6,1.5,3.0
T. Harris,Tobias Harris,PF/SF,PHI,37.2,"$7,700",4.84,34.38,18.8,7.4,3.9,0.9,0.9,1.7
T. Maxey,Tyrese Maxey,PG/SG,PHI,34.7,"$8,100",4.28,38.52,18.5,4.3,5.0,1.1,0.6,1.6
D. Green,Draymond Green,PF/C,GS,32.8,"$7,000",4.69,32.09,8.0,7.5,7.4,1.5,1.0,2.8
R. Jackson,Reggie Jackson,PG/SG,SA,32.4,"$6,000",5.4,34.19,18.7,4.2,4.7,1.0,0.1,1.7
A. Wiggins,Andrew Wiggins,SG/SF,GS,31.0,"$6,600",4.7,32.08,17.4,4.8,2.5,0.9,1.0,1.6
E. Bledsoe,Eric Bledsoe,SG/PG,SA,30.0,"$6,000",5,32.73,16.1,3.9,4.4,1.1,0.4,1.9
K. Johnson,Keldon Johnson,PF/SF,SA,29.7,"$6,900",4.3,30.98,16.5,6.5,2.1,0.8,0.4,1.4
T. Young,Thaddeus Young,PF/C,SA,29.0,"$5,900",4.91,24.06,12.1,6.1,4.5,1.0,0.6,2.0
M. Conley,Mike Conley,PG,PHI,28.8,"$5,700",5.05,30.31,12.6,3.2,6.3,1.4,0.2,1.9
J. Poole,Jordan Poole,PG/SG,GS,28.4,"$5,700",4.98,30.08,17.7,3,3.4,0.9,0.3,1.6
D. White,Derrick White,PG/SG,SA,28.1,"$5,200",5.41,31.86,12.6,3.4,4.7,1.0,1.0,1.6
S. Curry,Seth Curry,PG/SG,PHI,27.2,"$5,700",4.77,34.67,16.4,3,3.4,1.0,0.2,1.5
T. Mann,Terance Mann,SG/SF,SA,26.7,"$4,500",5.94,32.35,12.6,6.2,2.8,0.9,0.3,1.1
F. Korkmaz,Furkan Korkmaz,SG/SF,PHI,26.2,"$5,200",5.04,34.41,13.7,3.8,3.1,1.3,0.3,1.5
D. Eubanks,Drew Eubanks,C/PF,SA,25.7,"$5,300",4.85,24.13,9.3,7.5,1.6,0.6,1.6,1.6
B. Bogdanovic,Bojan Bogdanovic,SF/PF,PHI,25.4,"$5,100",4.97,32.28,16.7,4,2.1,0.7,0.1,1.7
D. Vassell,Devin Vassell,SG,SA,25.0,"$5,700",4.38,30.67,11.6,5,1.9,1.2,0.6,0.9
B. Brown,Bruce Brown Jr.,SG,GS,24.4,"$4,700",5.18,32.39,9.0,6.3,2.2,1.3,0.6,1.2
J. Clarkson,Jordan Clarkson,PG/SG,PHI,24.2,"$5,300",4.57,24.25,15.3,3.3,2.3,0.8,0.2,1.5
L. Aldridge,LaMarcus Aldridge,C/PF,GS,24.2,"$5,600",4.31,24.58,11.6,5.3,1.6,0.5,1.1,1.0
N. Batum,Nicolas Batum,SF/PF,SA,24.0,"$6,000",4.01,32.23,8.6,5.7,2.6,1.2,0.7,1.0
P. Mills,Patrick Mills,SG/PG,GS,23.6,"$4,000",5.9,30.29,14.7,2.3,3.1,0.8,0.1,1.2
I. Zubac,Ivica Zubac,C,SA,22.7,"$5,600",4.05,22.79,9.3,7.2,1.3,0.4,0.9,1.1
B. Griffin,Blake Griffin,PF/C,GS,22.3,"$3,900",5.71,25.95,9.2,5.5,2.9,0.7,0.4,1.2
R. O'Neale,Royce O'Neale,SF/PF,PHI,21.9,"$5,000",4.39,31.31,7.5,6.2,2.6,1.0,0.4,1.1
L. Kennard,Luke Kennard,SG/SF,SA,21.9,"$4,900",4.47,27.30,12.7,3.5,2.4,0.6,0.2,1.0
S. Milton,Shake Milton,PG/SG,PHI,21.9,"$5,100",4.28,23.04,12.6,2.5,3.1,0.7,0.3,1.4
D. McDermott,Doug McDermott,PF/SF,SA,21.1,"$4,700",4.48,28.95,13.3,3.8,1.6,0.5,0.1,1.0
I. Hartenstein,Isaiah Hartenstein,PF,SA,20.6,"$4,000",5.14,17.81,7.5,5.5,1.7,0.6,1.1,1.2
G. Niang,Georges Niang,PF/SF,PHI,19.9,"$4,900",4.05,26.24,11.1,4,1.5,0.6,0.3,1.0
J. Ingles,Joe Ingles,SG/SF,PHI,18.6,"$4,200",4.42,24.28,7.7,3,4.1,0.6,0.2,1.3
G. Payton II,Gary Payton II,SG,GS,18.3,"$4,700",3.9,18.04,8.7,3.2,2.2,1.0,0.2,1.1
J. Carter,Jevon Carter,PG/SG,GS,17.9,"$3,500",5.11,20.87,8.6,2.7,2.3,0.8,0.3,0.7
O. Porter,Otto Porter,SF/PF,GS,17.7,"$4,300",4.12,18.04,7.9,4.4,1.7,0.6,0.3,0.7
D. Bembry,DeAndre Bembry,SG/SF,GS,17.4,"$3,600",4.84,20.12,7.7,3.1,2.0,1.0,0.4,1.2
L. Walker,Lonnie Walker,SG/SF,SA,17.1,"$4,900",3.5,21.83,10.7,2.4,1.7,0.5,0.2,1.1
H. Whiteside,Hassan Whiteside,C,PHI,17.0,"$4,500",3.78,14.44,6.5,5.6,0.6,0.3,1.0,1.0
D. Lee,Damion Lee,SG/PG,GS,16.1,"$4,100",3.93,22.95,7.1,3.6,1.8,0.7,0.2,0.7
A. Iguodala,Andre Iguodala,SF/SG,GS,15.6,"$3,900",4,19.25,4.6,3.3,2.5,0.8,0.6,0.9
P. Reed,Paul Reed,PF/C,PHI,15.3,"$4,500",3.4,10.01,7.9,3.2,0.7,0.4,0.6,0.5
K. Looney,Kevon Looney,C/PF,GS,14.4,"$4,800",3,15.05,3.9,5.4,1.6,0.3,0.4,0.5
E. Paschall,Eric Paschall,C/PF,PHI,12.4,"$3,700",3.35,15.20,6.7,2.8,1.1,0.3,0.2,0.8
J. Johnson,James Johnson,SF/PF,GS,12.2,"$3,500",3.5,12.62,5.4,2.2,1.2,0.5,0.5,0.6
J. Kuminga,Jonathan Kuminga,SF,GS,8.1,"$4,200",1.93,9.96,4.0,1.7,0.7,0.3,0.2,0.5
K. Bates-Diop,Keita Bates-Diop,SF,SA,8.0,"$3,600",2.22,7.27,4.4,1.5,0.4,0.3,0.2,0.3
N. Bjelica,Nemanja Bjelica,PF,GS,7.8,"$4,300",1.81,8.19,3.4,2,1.0,0.2,0.1,0.4
B. Forbes,Bryn Forbes,SG/PG,SA,7.0,"$3,600",1.94,7.05,5.8,0.6,0.3,0.1,0.0,0.3
J. Winslow,Justise Winslow,SF,SA,4.9,"$4,400",1.12,5.45,2.1,1.2,0.6,0.2,0.1,0.4
I. Joe,Isaiah Joe,PG,PHI,3.8,"$3,500",1.08,3.97,2.8,0.4,0.2,0.1,0.0,0.1
C. Bassey,Charles Bassey,C,PHI,0.1,"$3,500",0.03,0.07,0.1,0,0.0,0.0,0.0,0.0
J. Springer,Jaden Springer,PG,PHI,0.1,"$3,500",0.03,0.07,0.1,0,0.0,0.0,0.0,0.0
G. Riller,Grant Riller,SG,PHI,0.1,"$3,500",0.03,0.08,0.1,0,0.0,0.0,0.0,0.0
A. Henry,Aaron Henry,SF,PHI,0.1,"$3,500",0.03,0.08,0.1,0,0.0,0.0,0.0,0.0
T. Jones,Tre Jones,PG,SA,0.1,"$3,500",0.03,0.18,0.1,0,0.0,0.0,0.0,0.0
D. Sharpe,Day'Ron Sharpe,PF,GS,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0
K. Edwards,Kessler Edwards,SF,GS,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0
M. Thybulle,Matisse Thybulle,SF,PHI,0.0,"$4,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
C. Thomas,Cameron Thomas,SG,GS,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
D. Green,Danny Green,SG/SF,PHI,0.0,"$4,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0
J. Toscano-Anderson,Juan Toscano-Anderson,SF/PF,GS,0.0,"$3,700",0,0.12,0.0,0,0.0,0.0,0.0,0.0
J. Harris,Joe Harris,SG/SF,GS,0.0,"$4,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0
P. Millsap,Paul Millsap,PF/C,GS,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
C. Chiozza,Chris Chiozza,PG,GS,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0
