contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $35K And-One [20 Entry Max],550,Classic,118617036,1,20,35000,Thu 7:30PM,105,41617,59601,35000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,118617041,15,150,4e+05,Thu 7:30PM,169,31372,59601,26666.6666666667
NBA $80K Four Point Play [20 Entry Max],2200,Classic,118617038,4,20,80000,Thu 7:30PM,82,23781,59601,20000
NBA $17.5K And-One (Night),550,Classic,118515683,1,20,17500,Wed 10:00PM,13779,20808,59559,17500
NBA $175K Fadeaway [$50K to 1st] (Night),8250,Classic,118534924,15,150,175000,Wed 10:00PM,8464,13725,59559,11666.6666666667
NBA $10K And-One (Night),550,Classic,118600819,1,20,10000,Thu 9:00PM,116,11890,59607,10000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,118600732,2,150,10000,Thu 7:30PM,13,5945,59601,5000
NBA $22K Zone [$5K to 1st],2750,Classic,118600730,5,150,22000,Thu 7:30PM,159,5231,59601,4400
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,118534923,6,150,26000,Wed 10:00PM,3338,5098,59559,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,118600729,6,150,26000,Thu 7:30PM,156,5098,59601,4333.33333333333
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,118617043,8,132,30000,Thu 7:30PM,132,4411,59601,3750
NBA $2 Double Up,1100,Classic,118600761,2,20,7000,Thu 7:30PM,6,4022,59601,3500
NBA $10K Hot Shot [3 Entry Max],1650,Classic,118600731,3,3,10000,Thu 7:30PM,10,3963,59601,3333.33333333333
NBA $10K Sharpshooter,1650,Classic,118617034,3,20,10000,Thu 7:30PM,20,3963,59601,3333.33333333333
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,118515680,4,20,10000,Wed 10:00PM,1788,2972,59559,2500
NBA $2K And-One (Turbo),550,Classic,118600797,1,20,2000,Thu 8:00PM,33,2378,59605,2000
NBA $5 Double Up,2750,Classic,118600759,5,55,8000,Thu 7:30PM,56,1839,59601,1600
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,118600799,10,52,15000,Thu 8:00PM,2,1764,59605,1500
NBA $5K Four Point Play [20 Entry Max] (Night),2200,Classic,118600818,4,20,5000,Thu 9:00PM,0,1486,59607,1250
NBA $5 Double Up,2750,Classic,118600760,5,34,5000,Thu 7:30PM,34,1149,59601,1000
