draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value
60090,20443150,Lonnie,Walker IV,Lonnie Walker IV,L. Walker IV,1060928,33365,SG/SF,476,4800,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33365.png,https://dkn.gs/sports/images/nba/players/160/33365.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,20.0,20.0,-2,1st,1,Low,24,SAS,1060928-5777805,,
60090,20443143,Anfernee,Simons,Anfernee Simons,A. Simons,1121307,33330,PG/SG,476,9000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33330.png,https://dkn.gs/sports/images/nba/players/160/33330.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,21.1,21.1,-2,11th,11,Medium,22,POR,1121307-5777805,,
60090,20443156,Tre,Jones,Tre Jones,T. Jones,1132030,527244,PG,476,2700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527244.png,https://dkn.gs/sports/images/nba/players/160/527244.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,7.1,7.1,-2,28th,28,High,24,SAS,1132030-5777805,,
60090,20443144,Devin,Vassell,Devin Vassell,D. Vassell,1132051,527223,SF/PF,476,7500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/527223.png,https://dkn.gs/sports/images/nba/players/160/527223.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,23.7,23.7,-2,11th,11,Medium,24,SAS,1132051-5777805,,
60090,20443141,Keldon,Johnson,Keldon Johnson,K. Johnson,1134174,33369,PF,476,10800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33369.png,https://dkn.gs/sports/images/nba/players/160/33369.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,28.5,28.5,-2,2nd,2,Low,24,SAS,1134174-5777805,,
60090,20443166,CJ,Elleby,CJ Elleby,C. Elleby,1135177,527256,SG/SF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527256.png,https://dkn.gs/sports/images/nba/players/160/527256.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,2.9,2.9,-2,28th,28,High,22,POR,1135177-5777805,,
60090,20443151,Nassir,Little,Nassir Little,N. Little,1138391,33332,SF/PF,476,4500,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33332.png,https://dkn.gs/sports/images/nba/players/160/33332.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,19.0,19.0,-2,8th,8,Low,22,POR,1138391-5777805,,
60090,20443171,Joe,Wieskamp,Joe Wieskamp,J. Wieskamp,1141061,591046,SG,476,1500,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591046.png,https://dkn.gs/sports/images/nba/players/160/591046.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,1.8,1.8,-2,1st,1,Low,24,SAS,1141061-5777805,,
60090,20443162,Trendon,Watford,Trendon Watford,T. Watford,1176529,591097,C,476,1500,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591097.png,https://dkn.gs/sports/images/nba/players/160/591097.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,4.8,4.8,-2,12th,12,Medium,22,POR,1176529-5777805,,
60090,20443160,Joshua,Primo,Joshua Primo,J. Primo,1231214,591013,SG,476,1500,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591013.png,https://dkn.gs/sports/images/nba/players/160/591013.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,3.9,3.9,-2,1st,1,Low,24,SAS,1231214-5777805,,
60090,20443165,Greg,Brown,Greg Brown,G. Brown,1243740,591047,PF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591047.png,https://dkn.gs/sports/images/nba/players/160/591047.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,5.4,5.4,-2,13th,13,Medium,22,POR,1243740-5777805,,
60090,20443149,Thaddeus,Young,Thaddeus Young,T. Young,329683,32958,PF/C,476,5100,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/32958.png,https://dkn.gs/sports/images/nba/players/160/32958.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,18.3,18.3,-2,2nd,2,Low,24,SAS,329683-5777805,,
60090,20443167,Patrick,Patterson,Patrick Patterson,P. Patterson,399599,33101,PF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33101.png,https://dkn.gs/sports/images/nba/players/160/33101.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,-2,13th,13,219,-,"",Medium,22,POR,399599-5777805,,
60090,20443168,Al-Farouq,Aminu,Al-Farouq Aminu,A. Aminu,457688,33265,PF,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33265.png,https://dkn.gs/sports/images/nba/players/160/33265.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,-2,2nd,2,219,-,"",Low,24,SAS,457688-5777805,,
60090,20443135,Damian,Lillard,Damian Lillard,D. Lillard,463121,33322,PG,476,18000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33322.png,https://dkn.gs/sports/images/nba/players/160/33322.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,40.7,40.7,-2,27th,27,High,22,POR,463121-5777805,,
60090,20443137,CJ,McCollum,CJ McCollum,C. McCollum,522878,33324,PG/SG,476,15300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33324.png,https://dkn.gs/sports/images/nba/players/160/33324.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,36.8,36.8,-2,11th,11,Medium,22,POR,522878-5777805,,
60090,20443146,Robert,Covington,Robert Covington,R. Covington,525052,33190,PF/C,476,6600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33190.png,https://dkn.gs/sports/images/nba/players/160/33190.png,"","",5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,5777805,SAS @ POR,SAS, @ ,POR,TRUE,2021-12-03T03:00:00.0000000Z,219,18.5,18.5,-2,13th,13,Medium,22,POR,525052-5777805,,
