draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash
64322,21453844,Frank,Ntilikina,Frank Ntilikina,F. Ntilikina,1056995,33237,PG/SG,458,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33237.png,https://dkn.gs/sports/images/nba/players/160/33237.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,9.0,9.0,-2,11th,11,Medium,,,6,DAL,1056995-5774727
64322,21453848,Isaiah,Hartenstein,Isaiah Hartenstein,I. Hartenstein,1057004,33079,C,462,4400,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33079.png,https://dkn.gs/sports/images/nba/players/160/33079.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,18.9,18.9,-2,9th,9,Low,,,12,LAC,1057004-5774451
64322,21453850,Ty-Shon,Alexander,Ty-Shon Alexander,T. Alexander,1060385,528600,SG,459,3200,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/528600.png,https://dkn.gs/sports/images/nba/players/160/528600.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,-2,16th,16,219,-,"",Medium,,,21,PHX,1060385-5777619
64322,21453853,Naji,Marshall,Naji Marshall,N. Marshall,1060704,535788,SF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/535788.png,https://dkn.gs/sports/images/nba/players/160/535788.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,8.3,8.3,-2,3rd,3,Low,,,3,NOP,1060704-5777619
64322,21453856,Jose,Alvarado,Jose Alvarado,J. Alvarado,1060919,591175,PG,458,3100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591175.png,https://dkn.gs/sports/images/nba/players/160/591175.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,12.3,12.3,-2,9th,9,Low,,,3,NOP,1060919-5777619
64322,21453859,Moses,Wright,Moses Wright,M. Wright,1060920,592433,SF/PF,460,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/592433.png,https://dkn.gs/sports/images/nba/players/160/592433.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,1.5,1.5,-2,25th,25,High,,,12,LAC,1060920-5774451
64322,21453863,Deandre,Ayton,Deandre Ayton,D. Ayton,1061507,33312,C,462,6800,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33312.png,https://dkn.gs/sports/images/nba/players/160/33312.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,34.1,34.1,-2,23rd,23,High,100,true,21,PHX,1061507-5777619
64322,21453865,Herbert,Jones,Herbert Jones,H. Jones,1061638,591040,SF/PF,460,4500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591040.png,https://dkn.gs/sports/images/nba/players/160/591040.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,21.9,21.9,-2,3rd,3,Low,100,true,3,NOP,1061638-5777619
64322,21453869,John,Petty Jr.,John Petty Jr.,J. Petty Jr.,1061640,591145,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32938.png,https://dkn.gs/sports/images/nba/teams/160/32938.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,-2,11th,11,219,-,"",Medium,,,3,NOP,1061640-5777619
64322,21453873,M.J.,Walker,M.J. Walker,M. Walker,1067656,591860,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591860.png,https://dkn.gs/sports/images/nba/players/160/591860.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,3.4,3.4,-2,22nd,22,High,,,21,PHX,1067656-5777619
64322,21453877,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,N. Alexander-Walker,1067668,33225,PG/SG,458,3400,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33225.png,https://dkn.gs/sports/images/nba/players/160/33225.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,22.7,22.7,-2,2nd,2,Low,,,26,UTA,1067668-5774727
64322,21453881,Maxi,Kleber,Maxi Kleber,M. Kleber,1072048,33003,PF/C,461,4800,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33003.png,https://dkn.gs/sports/images/nba/players/160/33003.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,20.7,20.7,-2,16th,16,Medium,,,6,DAL,1072048-5774727
64322,21453885,Luka,Doncic,Luka Doncic,L. Doncic,1121277,33005,PG,458,11800,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33005.png,https://dkn.gs/sports/images/nba/players/160/33005.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,56.6,56.6,-2,11th,11,Medium,100,true,6,DAL,1121277-5774727
64322,21453888,Emanuel,Terry,Emanuel Terry,E. Terry,1122290,58981,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/58981.png,https://dkn.gs/sports/images/nba/players/160/58981.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,7.1,7.1,-2,3rd,3,Low,,,21,PHX,1122290-5777619
64322,21453891,Zion,Williamson,Zion Williamson,Z. Williamson,1132025,33223,C,462,8100,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33223.png,https://dkn.gs/sports/images/nba/players/160/33223.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,-2,8th,8,219,-,"",Low,,,3,NOP,1132025-5777619
64322,21453893,Feron,Hunt,Feron Hunt,F. Hunt,1132598,591830,SF/PF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591830.png,https://dkn.gs/sports/images/nba/players/160/591830.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,-2,3rd,3,219,-,"",Low,,,3,NOP,1132598-5777619
64322,21453897,Talen,Horton-Tucker,Talen Horton-Tucker,T. Horton-Tucker,1132824,33128,SG/SF,459,4500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33128.png,https://dkn.gs/sports/images/nba/players/160/33128.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,20.4,20.4,-2,12th,12,Medium,,,13,LAL,1132824-5774451
64322,21453902,Kira,Lewis Jr.,Kira Lewis Jr.,K. Lewis Jr.,1134005,527224,PG/SG,458,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527224.png,https://dkn.gs/sports/images/nba/players/160/527224.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,11.7,11.7,-2,9th,9,Low,,,3,NOP,1134005-5777619
