contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $1K Fadeaway (MEM vs LAL),8250,Showdown Captain Mode,154311379,15,2,1000,Tue 10:30PM,7,78,95836
NBA Showdown $6K High Five [Single Entry] (MEM vs LAL),2750,Showdown Captain Mode,154238958,5,1,6000,Tue 10:30PM,1017,1426,95836
NBA Showdown Satellite to NBA MEGA Millionaire (11-29) (MEM vs LAL),15950,Showdown Captain Mode,154246833,29,3,2500,Tue 10:30PM,40,100,95836
NBA Showdown $15K SLAM Jam [$5K to 1st] (MEM vs LAL),122100,Showdown Captain Mode,154238953,222,2,15000,Tue 10:30PM,73,75,95836
NBA Showdown $3K 3-Ball [Single Entry] (MEM vs LAL),165000,Showdown Captain Mode,154238945,300,1,3000,Tue 10:30PM,6,11,95836
NBA $454K Mega 8's [$100K to 1st],488400,Classic,154306136,888,17,454000,Wed 7:00PM,39,568,95941
NBA $150K Box Out [$50K to 1st],48400,Classic,154306130,88,58,150000,Wed 7:00PM,128,1936,95941
NBA Showdown Satellite to NBA MEGA Millionaire (11-29) (MEM vs LAL),137500,Showdown Captain Mode,154246832,250,1,2500,Tue 10:30PM,7,11,95836
NBA Showdown $5K Sharpshooter [20 Entry Max] (MEM vs LAL),1650,Showdown Captain Mode,154238949,3,20,5000,Tue 10:30PM,1798,1981,95836
NBA Showdown $2K Pick and Roll [Single Entry] (MEM vs LAL),6600,Showdown Captain Mode,154238957,12,1,2000,Tue 10:30PM,116,196,95836
NBA Showdown $4K Showtime [Single Entry] (MEM vs LAL),55000,Showdown Captain Mode,154238951,100,1,4000,Tue 10:30PM,32,44,95836
NBA Showdown Satellite to NBA $1M MEGA 8's Special (MEM vs LAL),8250,Showdown Captain Mode,154246842,15,2,888,Tue 10:30PM,42,69,95836
NBA Showdown Satellite to NBA $1M MEGA 8's Special (MEM vs LAL),77000,Showdown Captain Mode,154246834,140,1,888,Tue 10:30PM,5,7,95836
NBA Showdown Satellite to UFC 296 12-16 $555 Knockout Special (MEM vs LAL),49500,Showdown Captain Mode,154246883,90,1,555,Tue 10:30PM,2,7,95836
Reignmakers Football Tier Climber [ELITE + RARE PACKS ONLY!!] (MEM vs LAL),6600,Showdown Captain Mode,154281314,12,2,725,Tue 10:30PM,19,71,95836
NBA Showdown $2K Ankle Breaker [Single Entry] (MEM vs LAL),27500,Showdown Captain Mode,154238950,50,1,2000,Tue 10:30PM,36,45,95836
NBA Showdown $750 And-One [20 Entry Max] (MEM vs LAL),550,Showdown Captain Mode,154309037,1,20,750,Tue 10:30PM,647,891,95836
NBA Showdown $750 Four Point Play (MEM vs LAL),2200,Showdown Captain Mode,154238956,4,6,750,Tue 10:30PM,191,222,95836
"NBA Showdown $408 Winner Take All [$1.5K to 1st, Must Fill] (MEM vs LAL)",224400,Showdown Captain Mode,154308892,408,1,1500,Tue 10:30PM,3,4,95836
