abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
N. Jokic,Nikola Jokic,C,LAC,62.8,"$12,800",4.91,34.88,29.6,12.7,10.3,1.2,0.8,3.5,1.4
J. Embiid,Joel Embiid,C,IND,58.1,"$12,300",4.72,35.22,33.3,11,4.6,1.0,1.7,3.4,1.0
L. Doncic,Luka Doncic,PG,DAL,56.9,"$12,000",4.74,36.59,31.0,8.8,8.8,1.4,0.5,3.6,3.4
S. Gilgeous-Alexander,Shai Gilgeous-Alexander,PG,SA,51.0,"$11,100",4.59,35.35,31.8,5.1,5.5,1.6,0.9,2.7,1.0
A. Davis,Anthony Davis,PF/C,MEM,49.6,"$11,500",4.32,35.38,21.9,12.9,2.9,1.1,2.2,2.0,0.4
L. Ball,LaMelo Ball,PG,MIA,49.5,"$9,600",5.15,37.39,27.5,6.5,8.5,1.3,0.3,3.4,4.3
T. Haliburton,Tyrese Haliburton,PG,IND,46.8,"$10,200",4.59,34.55,22.1,3.9,11.0,1.5,0.5,2.5,3.1
V. Wembanyama,Victor Wembanyama,PF/C,SA,45.7,"$8,700",5.26,34.00,21.9,10.2,3.2,1.1,2.2,3.1,1.5
B. Adebayo,Bam Adebayo,C,MIA,45.3,"$9,700",4.67,34.73,24.7,9.6,3.5,1.1,1.0,2.5,0.1
K. Irving,Kyrie Irving,PG/SG,DAL,43.9,"$8,600",5.1,36.53,25.6,5,6.0,1.1,0.7,2.1,3.4
D. Murray,Dejounte Murray,SG/PG,ATL,42.9,"$8,600",4.98,35.50,23.2,5,7.1,1.5,0.3,2.4,2.0
L. Markkanen,Lauri Markkanen,PF/SF,POR,42.8,"$8,500",5.03,34.87,25.4,9.7,1.9,0.8,0.8,1.9,3.2
T. Maxey,Tyrese Maxey,PG,IND,42.7,"$10,100",4.23,37.37,26.9,3.7,6.0,1.0,0.3,1.5,2.9
J. Butler,Jimmy Butler,SF/PF,MIA,42.6,"$8,100",5.26,33.42,22.9,6,5.4,1.6,0.4,1.6,0.8
A. Edwards,Anthony Edwards,SG/SF,MIN,42.5,"$9,800",4.33,35.14,26.3,5.4,4.2,1.5,0.6,2.9,2.5
Z. Williamson,Zion Williamson,PF,DAL,42.4,"$8,000",5.3,33.27,25.0,7,4.6,1.0,0.6,2.7,0.4
L. James,LeBron James,SF/PF,MEM,42.3,"$10,000",4.23,32.44,22.2,7.6,6.0,1.0,0.6,2.8,1.9
J. Jackson,Jaren Jackson Jr.,PF/C,MEM,41.8,"$8,400",4.98,34.18,20.4,8,1.6,1.1,2.7,2.0,1.9
B. Ingram,Brandon Ingram,SF,DAL,41.7,"$8,000",5.21,35.88,24.7,5.8,6.0,0.8,0.5,2.9,1.6
D. Bane,Desmond Bane,SG/SF,MEM,41.2,"$9,100",4.53,34.46,25.0,5.3,5.1,1.1,0.4,2.3,3.2
K. Leonard,Kawhi Leonard,SF/PF,LAC,40.2,"$7,900",5.08,36.58,21.4,6.8,4.2,1.4,0.6,1.7,2.1
J. Grant,Jerami Grant,PF/SF,POR,39.8,"$6,700",5.94,39.47,25.3,5.3,2.9,1.0,1.0,2.2,3.1
C. Cunningham,Cade Cunningham,PG/SG,ATL,39.6,"$7,800",5.07,36.00,23.3,4.9,6.4,0.9,0.5,3.4,1.9
P. Banchero,Paolo Banchero,PF/SF,ORL,39.0,"$7,900",4.94,36.51,21.3,7.7,4.4,1.0,0.6,2.9,1.2
K. Towns,Karl-Anthony Towns,PF/C,MIN,38.5,"$8,100",4.75,34.64,19.9,8.8,4.1,0.8,0.7,2.6,1.9
M. Bridges,Mikal Bridges,SG/SF,ORL,38.1,"$7,900",4.83,34.39,23.8,4.6,3.6,1.1,0.6,1.7,2.4
D. Ayton,Deandre Ayton,C,POR,37.9,"$7,500",5.05,35.85,16.3,12.3,2.2,0.9,1.0,2.2,0.2
P. George,Paul George,SG/SF,LAC,37.7,"$8,300",4.54,36.29,21.5,6.3,3.7,1.6,0.4,2.9,2.8
S. Sharpe,Shaedon Sharpe,SF/SG,POR,35.9,"$6,800",5.28,38.79,23.4,5.3,2.5,1.0,0.5,2.1,2.8
