Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (31024804),Luka Doncic,31024804,PG/G/UTIL,12100,DAL@WAS 11/15/2023 07:00PM ET,DAL,61
C,Joel Embiid (31024807),Joel Embiid,31024807,C/UTIL,11600,BOS@PHI 11/15/2023 07:30PM ET,PHI,61.03
PF/C,Giannis Antetokounmpo (31024809),Giannis Antetokounmpo,31024809,PF/C/F/UTIL,11100,MIL@TOR 11/15/2023 07:30PM ET,MIL,50.35
PG/SG,Devin Booker (31024813),Devin Booker,31024813,PG/SG/G/UTIL,10300,MIN@PHX 11/15/2023 09:00PM ET,PHX,57.62
C,Anthony Davis (31024817),Anthony Davis,31024817,C/UTIL,10200,SAC@LAL 11/15/2023 10:00PM ET,LAL,52.61
SF/PF,Jayson Tatum (31024819),Jayson Tatum,31024819,SF/PF/F/UTIL,10100,BOS@PHI 11/15/2023 07:30PM ET,BOS,49.32
SF/PF,LeBron James (31024823),LeBron James,31024823,SF/PF/F/UTIL,10000,SAC@LAL 11/15/2023 10:00PM ET,LAL,47.94
PF,Kevin Durant (31024827),Kevin Durant,31024827,PF/F/UTIL,9900,MIN@PHX 11/15/2023 09:00PM ET,PHX,49.12
C,Domantas Sabonis (31024830),Domantas Sabonis,31024830,C/UTIL,9800,SAC@LAL 11/15/2023 10:00PM ET,SAC,48.39
PG,Tyrese Maxey (31024832),Tyrese Maxey,31024832,PG/G/UTIL,9500,BOS@PHI 11/15/2023 07:30PM ET,PHI,52.03
PG,Trae Young (31024835),Trae Young,31024835,PG/G/UTIL,9300,NYK@ATL 11/15/2023 07:30PM ET,ATL,46.5
PG/SF,Scottie Barnes (31024838),Scottie Barnes,31024838,PG/SF/F/G/UTIL,9200,MIL@TOR 11/15/2023 07:30PM ET,TOR,48.52
PG/SG,Dejounte Murray (31024847),Dejounte Murray,31024847,PG/SG/G/UTIL,9100,NYK@ATL 11/15/2023 07:30PM ET,ATL,39.36
PG/SG,Donovan Mitchell (31024843),Donovan Mitchell,31024843,PG/SG/G/UTIL,9100,CLE@POR 11/15/2023 10:00PM ET,CLE,48.75
PG,Damian Lillard (31024851),Damian Lillard,31024851,PG/G/UTIL,9000,MIL@TOR 11/15/2023 07:30PM ET,MIL,37.12
SG/SF,Anthony Edwards (31024854),Anthony Edwards,31024854,SG/SF/F/G/UTIL,8900,MIN@PHX 11/15/2023 09:00PM ET,MIN,47.28
PG/SG,Kyrie Irving (31024859),Kyrie Irving,31024859,PG/SG/G/UTIL,8800,DAL@WAS 11/15/2023 07:00PM ET,DAL,43.22
PF/C,Pascal Siakam (31024863),Pascal Siakam,31024863,PF/C/F/UTIL,8700,MIL@TOR 11/15/2023 07:30PM ET,TOR,37.38
PG,De'Aaron Fox (31024867),De'Aaron Fox,31024867,PG/G/UTIL,8300,SAC@LAL 11/15/2023 10:00PM ET,SAC,47.94
PF/C,Julius Randle (31024870),Julius Randle,31024870,PF/C/F/UTIL,8200,NYK@ATL 11/15/2023 07:30PM ET,NYK,40.62
PF,Kyle Kuzma (31024874),Kyle Kuzma,31024874,PF/F/UTIL,8100,DAL@WAS 11/15/2023 07:00PM ET,WAS,37.88
PG/SG,Malcolm Brogdon (31024877),Malcolm Brogdon,31024877,PG/SG/G/UTIL,8100,CLE@POR 11/15/2023 10:00PM ET,POR,33.5
PG,Jalen Brunson (31024881),Jalen Brunson,31024881,PG/G/UTIL,8000,NYK@ATL 11/15/2023 07:30PM ET,NYK,35.58
PF/C,Karl-Anthony Towns (31024884),Karl-Anthony Towns,31024884,PF/C/F/UTIL,7900,MIN@PHX 11/15/2023 09:00PM ET,MIN,38.06
SG/SF,Shaedon Sharpe (31024888),Shaedon Sharpe,31024888,SG/SF/F/G/UTIL,7800,CLE@POR 11/15/2023 10:00PM ET,POR,33.19
SG/SF,Jaylen Brown (31024893),Jaylen Brown,31024893,SG/SF/F/G/UTIL,7800,BOS@PHI 11/15/2023 07:30PM ET,BOS,37.15
C,Nikola Vucevic (31024898),Nikola Vucevic,31024898,C/UTIL,7800,ORL@CHI 11/15/2023 08:00PM ET,CHI,39.46
PF,Paolo Banchero (31024900),Paolo Banchero,31024900,PF/F/UTIL,7700,ORL@CHI 11/15/2023 08:00PM ET,ORL,38
SG/SF,Zach LaVine (31024903),Zach LaVine,31024903,SG/SF/F/G/UTIL,7700,ORL@CHI 11/15/2023 08:00PM ET,CHI,34.7
PF,Jerami Grant (31024908),Jerami Grant,31024908,PF/F/UTIL,7600,CLE@POR 11/15/2023 10:00PM ET,POR,34.39
PG,D'Angelo Russell (31024911),D'Angelo Russell,31024911,PG/G/UTIL,7500,SAC@LAL 11/15/2023 10:00PM ET,LAL,34.18
PF/C,Kristaps Porzingis (31024918),Kristaps Porzingis,31024918,PF/C/F/UTIL,7400,BOS@PHI 11/15/2023 07:30PM ET,BOS,34.1
SF/PF,DeMar DeRozan (31024914),DeMar DeRozan,31024914,SF/PF/F/UTIL,7400,ORL@CHI 11/15/2023 08:00PM ET,CHI,35.93
PF/C,Evan Mobley (31024922),Evan Mobley,31024922,PF/C/F/UTIL,7300,CLE@POR 11/15/2023 10:00PM ET,CLE,38.28
C,Deandre Ayton (31024926),Deandre Ayton,31024926,C/UTIL,7200,CLE@POR 11/15/2023 10:00PM ET,POR,34.06
PG,Darius Garland (31024928),Darius Garland,31024928,PG/G/UTIL,7200,CLE@POR 11/15/2023 10:00PM ET,CLE,32.54
PG/SG,Bradley Beal (31024931),Bradley Beal,31024931,PG/SG/G/UTIL,7100,MIN@PHX 11/15/2023 09:00PM ET,PHX,30.83
PG/SG,Skylar Mays (31024938),Skylar Mays,31024938,PG/SG/G/UTIL,7000,CLE@POR 11/15/2023 10:00PM ET,POR,16.09
SF,Franz Wagner (31024935),Franz Wagner,31024935,SF/F/UTIL,7000,ORL@CHI 11/15/2023 08:00PM ET,ORL,33.39
C,Jusuf Nurkic (31024942),Jusuf Nurkic,31024942,C/UTIL,6900,MIN@PHX 11/15/2023 09:00PM ET,PHX,33.05
C,Rudy Gobert (31024944),Rudy Gobert,31024944,C/UTIL,6900,MIN@PHX 11/15/2023 09:00PM ET,MIN,36.53
PG/SG,Jrue Holiday (31024946),Jrue Holiday,31024946,PG/SG/G/UTIL,6900,BOS@PHI 11/15/2023 07:30PM ET,BOS,33.92
PG,Dennis Schroder (31024954),Dennis Schroder,31024954,PG/G/UTIL,6800,MIL@TOR 11/15/2023 07:30PM ET,TOR,33.22
PG/SG,Jordan Poole (31024950),Jordan Poole,31024950,PG/SG/G/UTIL,6800,DAL@WAS 11/15/2023 07:00PM ET,WAS,28.15
PF,Jalen Johnson (31024957),Jalen Johnson,31024957,PF/F/UTIL,6700,NYK@ATL 11/15/2023 07:30PM ET,ATL,31.58
SF/PF,Tobias Harris (31024960),Tobias Harris,31024960,SF/PF/F/UTIL,6600,BOS@PHI 11/15/2023 07:30PM ET,PHI,34.58
