pos,name,salary,rest,start,team,opp,dv_p,dk_fp_projected,value_projected,fp_min,fp_avg,fp_max,o_u,tm_pts
,,,,,,,,,,,,,,
PG,Luka Doncic,$12.1k,0,YES,DAL,WAS,28,63.6,5.26,19.0,48.3,65.0,243.5,124.3
C,Joel Embiid,$11.6k,0,YES,PHI,BOS,4,58.2,5.02,54.5,65.5,75.8,224.5,110
SF/PF,J. Tatum,$10.1k,1,YES,BOS,PHI,1,53.6,5.31,42.3,48.3,56.0,224.5,114.5
C,A. Davis,$10.2k,0,EXP.,LAL,SAC,16,50.1,4.91,24.0,48.4,62.3,236,117
PG/SG,D. Mitchell,$9.1k,1,YES,CLE,POR,5,49.4,5.43,37.0,45.5,60.3,217.5,113.8
SF/PF,L. James,$10.0k,0,EXP.,LAL,SAC,8,47.4,4.74,27.0,43.6,59.8,236,117
PF,K. Durant,$9.9k,2,YES,PHO,MIN,7,47.3,4.78,49.5,53.5,58.5,223.5,113.8
C,D. Sabonis,$9.8k,1,EXP.,SAC,LAL,27,47.2,4.82,23.5,46.8,59.3,236,119
PG,D. Lillard,$9.0k,1,YES,MIL,TOR,18,45.6,5.07,21.3,36.3,47.5,228,116.8
PG/SF,S. Barnes,$9.2k,1,YES,TOR,MIL,26,45.5,4.95,26.8,48.4,67.3,228,111.3
PG,De'Aaron Fox,$8.3k,1,EXP.,SAC,LAL,4,44.6,5.37,29.8,44.3,58.0,236,119
PG,Trae Young Q,$9.3k,3,YES,ATL,NY,10,44.4,4.77,44.0,50.5,65.0,229.5,115.5
PF/C,P. Siakam,$8.7k,1,YES,TOR,MIL,9,44.0,5.06,21.8,40.4,67.8,228,111.3
SG/SF,A. Edwards,$8.9k,0,YES,MIN,PHO,5,43.8,4.92,36.0,50.3,61.3,223.5,109.8
PF/C,J. Randle,$8.2k,1,YES,NY,ATL,29,43.7,5.33,41.8,45.4,54.0,229.5,114
C,N. Vucevic,$7.8k,1,YES,CHI,ORL,29,43.5,5.58,30.0,41.7,54.5,216,108.8
PG,T. Maxey,$9.5k,0,YES,PHI,BOS,20,42.4,4.46,40.5,55.3,74.8,224.5,110
PF,Kyle Kuzma,$8.1k,1,YES,WAS,DAL,14,42.3,5.22,25.5,38.5,51.3,243.5,119.3
PG/SG,D. Booker Q,$10.3k,12,YES,PHO,MIN,17,41.3,4.01,28.8,50.1,64.0,223.5,113.8
PF/C,K. Towns,$7.9k,0,YES,MIN,PHO,1,40.0,5.06,21.0,41.0,55.3,223.5,109.8
PG/SG,Jrue Holiday,$6.9k,1,YES,BOS,PHI,25,39.3,5.70,26.3,32.9,47.5,224.5,114.5
PF/C,Evan Mobley,$7.3k,1,YES,CLE,POR,17,39.2,5.37,31.3,37.2,48.5,217.5,113.8
PF,P. Banchero,$7.7k,0,YES,ORL,CHI,19,39.0,5.06,33.0,42.0,53.3,216,107.3
PG,J. Brunson,$8.0k,1,YES,NY,ATL,13,38.6,4.83,24.3,37.0,58.3,229.5,114
SG/SF,Zach LaVine,$7.7k,1,YES,CHI,ORL,8,38.5,5.00,24.0,34.7,46.0,216,108.8
PG/SG,D. Murray,$9.1k,0,YES,ATL,NY,10,37.5,4.12,26.3,43.8,60.3,229.5,115.5
C,Rudy Gobert,$6.9k,0,YES,MIN,PHO,21,36.6,5.30,28.0,36.4,48.3,223.5,109.8
SG/SF,S. Sharpe,$7.8k,0,YES,POR,CLE,1,36.3,4.65,24.3,32.7,41.0,217.5,103.8
PF,J. Grant,$7.6k,0,YES,POR,CLE,24,36.0,4.74,32.5,41.6,63.3,217.5,103.8
C,D. Ayton,$7.2k,0,YES,POR,CLE,8,35.4,4.92,23.8,32.9,43.0,217.5,103.8
PG/SG,Skylar Mays,$7.0k,0,YES,POR,CLE,30,34.7,4.96,13.8,28.0,41.0,217.5,103.8
C,J. Nurkic,$6.9k,2,YES,PHO,MIN,6,34.3,4.96,19.5,35.6,55.8,223.5,113.8
PG,D. Russell,$7.5k,0,EXP.,LAL,SAC,21,34.3,4.57,28.0,35.8,38.3,236,117
SG/SF,C. LeVert,$6.4k,1,"",CLE,POR,30,34.2,5.34,20.8,32.0,43.8,217.5,113.8
SF,F. Wagner,$7.0k,0,YES,ORL,CHI,10,33.9,4.84,23.3,33.3,40.0,216,107.3
PF/C,B. Portis,$5.7k,1,"",MIL,TOR,3,33.4,5.86,25.5,29.1,39.5,228,116.8
PG,D. Schroder,$6.8k,1,YES,TOR,MIL,26,32.6,4.79,15.3,29.7,42.3,228,111.3
SF/PF,T. Harris,$6.6k,0,YES,PHI,BOS,9,32.5,4.92,32.3,34.3,36.8,224.5,110
PG/SG,J. Poole,$6.8k,1,YES,WAS,DAL,27,32.3,4.75,15.0,26.7,36.3,243.5,119.3
C,J. Allen,$5.9k,1,YES,CLE,POR,24,31.9,5.41,23.8,25.4,28.5,217.5,113.8
PG/SG,D. White,$6.0k,1,YES,BOS,PHI,25,31.6,5.27,15.5,25.5,38.0,224.5,114.5
SF/PF,Deni Avdija,$6.2k,1,YES,WAS,DAL,14,31.4,5.06,21.3,29.2,35.3,243.5,119.3
SF/PF,Josh Hart,$5.7k,1,YES,NY,ATL,23,30.4,5.33,11.8,24.4,34.3,229.5,114
PF,K. Murray,$6.4k,1,EXP.,SAC,LAL,23,30.3,4.73,11.5,30.3,48.8,236,119
SG/SF,Tim Hardaway Jr.,$5.9k,0,"",DAL,WAS,3,29.9,5.07,19.5,25.8,30.8,243.5,124.3
SG/SF,A. Reaves,$6.3k,0,"",LAL,SAC,7,28.6,4.54,17.3,34.2,52.0,236,117
PF,J. Johnson,$6.7k,0,YES,ATL,NY,5,28.5,4.25,16.0,33.3,45.0,229.5,115.5
PG/SG,D. Melton,$5.5k,0,YES,PHI,BOS,20,28.2,5.13,13.0,26.4,42.5,224.5,110
PG,Tyus Jones,$5.7k,1,YES,WAS,DAL,27,28.1,4.93,6.3,21.5,30.0,243.5,119.3
SG/SF,Max Strus,$5.6k,1,YES,CLE,POR,30,28.0,5.00,15.3,28.9,35.3,217.5,113.8
PG,Coby White,$5.5k,1,YES,CHI,ORL,9,27.6,5.02,26.3,31.3,36.3,216,108.8
PG/SG,J. Suggs,$5.8k,0,YES,ORL,CHI,8,27.4,4.72,21.0,28.4,38.0,216,107.3
C,B. Lopez,$5.4k,1,YES,MIL,TOR,13,27.3,5.06,13.3,20.6,30.0,228,116.8
PF/C,Al Horford,$5.5k,1,YES,BOS,PHI,26,27.3,4.96,6.5,17.7,25.3,224.5,114.5
C,C. Capela,$5.7k,0,YES,ATL,NY,2,27.3,4.79,26.5,28.2,29.8,229.5,115.5
C,M. Robinson,$5.5k,1,YES,NY,ATL,9,27.0,4.91,18.5,25.6,41.3,229.5,114
PG,Mike Conley,$5.4k,0,YES,MIN,PHO,19,26.8,4.96,20.0,25.9,32.5,223.5,109.8
C,J. Poeltl,$6.0k,1,YES,TOR,MIL,14,26.4,4.40,18.3,25.2,37.5,228,111.3
PG/SG,Malik Monk,$5.9k,1,"",SAC,LAL,4,26.0,4.41,11.3,30.3,46.5,236,119
C,D. Gafford,$5.4k,1,YES,WAS,DAL,12,26.0,4.81,14.8,27.1,36.8,243.5,119.3
SG,K. Huerter,$5.8k,1,EXP.,SAC,LAL,13,25.6,4.41,13.5,29.8,51.3,236,119
SG/SF,K. Middleton,$5.6k,1,YES,MIL,TOR,4,25.0,4.46,23.0,26.2,30.3,228,116.8
SF,B. Coulibaly,$4.5k,1,"",WAS,DAL,14,24.7,5.49,11.0,23.1,42.3,243.5,119.3
C,D. Lively II,$5.2k,0,YES,DAL,WAS,30,24.3,4.66,14.0,21.2,36.5,243.5,124.3
SG/SF,B. Bogdanovic,$5.4k,0,"",ATL,NY,18,24.0,4.44,21.8,27.3,31.5,229.5,115.5
SF/PF,D. Hunter,$5.3k,0,YES,ATL,NY,20,23.5,4.43,11.0,19.2,32.3,229.5,115.5
PG/SG,Eric Gordon Q,$5.1k,4,YES,PHO,MIN,17,23.4,4.59,4.8,22.7,42.3,223.5,113.8
SF/PF,D. Jones Jr.,$4.9k,0,YES,DAL,WAS,26,23.4,4.78,11.8,21.6,36.0,243.5,124.3
C,Goga Bitadze,$5.2k,0,YES,ORL,CHI,22,23.2,4.46,19.8,24.4,37.0,216,107.3
C,O. Okongwu,$4.9k,0,"",ATL,NY,2,23.2,4.73,17.8,24.0,29.5,229.5,115.5
SF/PF,Saddiq Bey,$4.8k,0,"",ATL,NY,20,23.1,4.81,7.3,22.1,33.5,229.5,115.5
SF,Sam Hauser,$4.4k,1,YES,BOS,PHI,1,22.9,5.20,19.0,21.4,23.5,224.5,114.5
SG/SF,G. Allen,$5.5k,2,YES,PHO,MIN,21,22.9,4.16,15.3,26.9,51.5,223.5,113.8
PG/SG,I. Quickley,$5.6k,1,"",NY,ATL,13,22.8,4.07,16.3,24.5,38.3,229.5,114
PF/C,M. Wagner,$4.8k,0,"",ORL,CHI,19,22.8,4.75,21.8,25.5,27.5,216,107.3
PG/SG,Cole Anthony,$5.3k,0,"",ORL,CHI,8,22.7,4.28,11.0,19.7,34.5,216,107.3
SF/PF,T. Prince,$4.7k,0,EXP.,LAL,SAC,8,22.5,4.79,9.8,15.3,20.3,236,117
SF/PF,Kyle Anderson,$4.6k,0,"",MIN,PHO,30,22.1,4.80,15.0,18.3,21.5,223.5,109.8
SF,J. McDaniels,$4.5k,0,YES,MIN,PHO,30,21.9,4.87,0.0,15.5,26.5,223.5,109.8
PG/SG,Alex Caruso Q,$4.5k,6,"",CHI,ORL,9,21.8,4.84,7.0,18.2,38.5,216,108.8
PF/C,Naz Reid,$4.8k,0,"",MIN,PHO,1,20.8,4.33,13.0,19.0,29.5,223.5,109.8
PF,G. Williams,$4.8k,0,YES,DAL,WAS,13,20.8,4.33,5.5,11.8,18.5,243.5,124.3
SG,M. Beasley,$4.3k,1,YES,MIL,TOR,4,20.8,4.84,3.5,14.9,24.5,228,116.8
SF/PF,Josh Green,$4.0k,0,YES,DAL,WAS,26,20.2,5.05,8.0,13.5,25.0,243.5,124.3
PG/SG,P. Pritchard,$3.6k,1,"",BOS,PHI,25,20.0,5.56,8.0,16.2,26.8,224.5,114.5
PF,Rui Hachimura,$4.9k,0,"",LAL,SAC,20,20.0,4.08,21.0,29.1,44.0,236,117
PF,P. Williams Q,$3.9k,1,YES,CHI,ORL,8,19.3,4.95,7.5,17.2,31.3,216,108.8
C,P. Achiuwa,$4.5k,1,"",TOR,MIL,14,19.2,4.27,15.8,18.2,20.8,228,111.3
PF,C. Boucher,$4.1k,1,"",TOR,MIL,9,19.1,4.66,12.5,16.3,24.0,228,111.3
SF/PF,H. Barnes,$4.9k,1,EXP.,SAC,LAL,22,19.0,3.88,4.5,13.6,20.8,236,119
SG/SF,M. Beauchamp,$3.5k,1,"",MIL,TOR,4,18.9,5.40,8.5,13.3,21.8,228,116.8
SG/SF,Cam Reddish,$4.8k,0,EXP.,LAL,SAC,7,18.8,3.92,14.3,22.6,37.8,236,117
C,Christian Wood,$5.9k,0,"",LAL,SAC,16,18.7,3.17,6.5,14.9,24.0,236,117
SG/SF,Q. Grimes,$4.5k,1,YES,NY,ATL,11,18.6,4.13,6.3,15.1,27.0,229.5,114
PF,T. Craig,$4.0k,1,YES,CHI,ORL,8,18.5,4.63,6.0,17.8,26.5,216,108.8
SF/PF,Pat Connaughton,$3.8k,1,"",MIL,TOR,28,18.5,4.87,3.0,14.5,26.0,228,116.8
SF/PF,T. Camara,$3.8k,0,YES,POR,CLE,6,18.1,4.76,13.5,16.4,20.8,217.5,103.8
C,Drew Eubanks,$4.5k,2,"",PHO,MIN,6,18.1,4.02,10.8,18.8,26.3,223.5,113.8
SG/SF,C. Kispert,$4.0k,1,"",WAS,DAL,17,17.8,4.44,3.3,17.5,22.3,243.5,119.3
C,D. Powell,$4.5k,0,"",DAL,WAS,30,17.8,3.96,14.5,19.2,24.5,243.5,124.3
PG/SG,P. Beverley,$3.9k,0,"",PHI,BOS,20,17.6,4.51,1.5,11.8,22.5,224.5,110
SG/SF,Ayo Dosunmu,$4.0k,1,"",CHI,ORL,8,17.5,4.38,6.8,12.4,24.8,216,108.8
SF/PF,G. Niang,$3.9k,1,"",CLE,POR,17,17.0,4.36,3.5,13.1,20.8,217.5,113.8
C,A. Drummond,$4.5k,1,"",CHI,ORL,29,17.0,3.78,8.3,19.9,33.8,216,108.8
C,I. Hartenstein,$4.3k,1,"",NY,ATL,9,16.6,3.86,6.8,15.0,20.8,229.5,114
PF/C,R. Covington,$4.6k,0,YES,PHI,BOS,16,16.5,3.59,6.8,11.7,15.5,224.5,110
SG/SF,A. Black,$3.8k,"",YES,ORL,CHI,29,16.3,4.29,"","","",216,107.3
PF,D. Gallinari,$3.7k,2,"",WAS,DAL,14,16.1,4.35,2.3,16.9,29.5,243.5,119.3
PG,M. Flynn,$3.6k,1,"",TOR,MIL,26,15.9,4.42,12.0,16.1,20.0,228,111.3
PG/SG,J. Hardy,$4.7k,0,"",DAL,WAS,28,15.7,3.34,9.3,12.7,17.5,243.5,124.3
SG/SF,D. DiVincenzo,$4.6k,1,"",NY,ATL,11,15.5,3.37,8.0,14.2,26.0,229.5,114
SG/SF,Gradey Dick,$3.5k,1,YES,TOR,MIL,23,15.0,4.29,-1.0,6.3,16.0,228,111.3
SF,M. Thybulle,$4.0k,0,"",POR,CLE,6,14.8,3.70,9.5,18.4,29.0,217.5,103.8
PF/C,J. Walker,$3.3k,0,"",POR,CLE,24,14.7,4.45,5.5,16.2,29.0,217.5,103.8
C,Luke Kornet,$4.6k,3,"",BOS,PHI,7,14.6,3.17,0.0,12.7,21.8,224.5,114.5
PG/SF,A. Jackson Jr.,$3.0k,1,YES,MIL,TOR,18,14.6,4.87,0.0,5.6,9.8,228,116.8
SF/PF,Joe Ingles,$3.5k,0,"",ORL,CHI,10,14.6,4.17,11.8,18.9,25.8,216,107.3
C,J. McGee,$3.0k,1,"",SAC,LAL,27,14.4,4.80,7.5,12.7,19.5,236,119
PG/SG,C. Payne,$4.6k,1,"",MIL,TOR,18,14.0,3.04,6.5,16.8,21.5,228,116.8
SF/PF,Otto Porter Jr.,$4.0k,1,"",TOR,MIL,21,13.8,3.45,5.8,11.0,14.3,228,111.3
SF/PF,K. Bates-Diop,$4.7k,2,"",PHO,MIN,2,13.7,2.91,11.0,20.0,26.8,223.5,113.8
PG/SG,N. Alexander-Walker,$3.9k,0,"",MIN,PHO,19,13.5,3.46,10.0,16.9,21.3,223.5,109.8
SF/PF,S. Vezenkov,$3.4k,"","",SAC,LAL,22,13.3,3.90,"","","",236,119
PG/SG,J. Carter,$3.4k,1,"",CHI,ORL,9,13.0,3.82,5.5,13.5,19.5,216,108.8
PG/SG,L. Shamet,$3.3k,1,"",WAS,DAL,27,12.5,3.79,4.3,12.5,24.8,243.5,119.3
C,Paul Reed,$4.4k,0,"",PHI,BOS,4,11.9,2.70,6.3,12.8,18.0,224.5,110
PG,Dante Exum,$3.7k,0,"",DAL,WAS,28,11.6,3.14,4.8,12.4,20.5,243.5,124.3
SG,Gary Harris,$3.2k,12,"",ORL,CHI,29,11.5,3.59,3.5,14.6,26.3,216,107.3
C,Duop Reath,$3.2k,0,"",POR,CLE,8,11.0,3.44,0.3,11.5,22.8,217.5,103.8
PG,Keon Ellis,$3.9k,1,"",SAC,LAL,4,10.8,2.76,2.0,13.4,23.0,236,119
PF,O. Brissett,$3.4k,3,"",BOS,PHI,26,10.8,3.18,0.0,6.8,10.8,224.5,114.5
PF,Dean Wade,$3.5k,1,YES,CLE,POR,17,10.5,3.00,0.0,8.9,17.8,217.5,113.8
PF/C,J. Isaac,$3.7k,0,"",ORL,CHI,19,10.5,2.84,1.5,16.0,25.3,216,107.3
SF,D. House Jr.,$3.5k,0,"",PHI,BOS,9,10.3,2.94,0.3,4.6,9.0,224.5,110
PG/SG,J. Bouyea,$3.3k,0,"",POR,CLE,30,10.2,3.09,-0.8,9.9,25.5,217.5,103.8
SG,Seth Curry,$3.0k,0,"",DAL,WAS,3,10.1,3.37,1.3,6.8,15.3,243.5,124.3
SF,Josh Okogie,$4.1k,2,"",PHO,MIN,2,10.0,2.44,11.0,14.9,24.8,223.5,113.8
PG/SG,S. Milton,$3.8k,0,"",MIN,PHO,19,9.7,2.55,0.0,9.4,20.0,223.5,109.8
PF,Yuta Watanabe,$3.2k,2,"",PHO,MIN,7,9.7,3.03,4.8,9.5,13.3,223.5,113.8
C,T. Thompson,$3.4k,1,"",CLE,POR,24,9.1,2.68,0.0,4.7,11.3,217.5,113.8
SG/SF,C. Duarte,$3.1k,1,"",SAC,LAL,13,7.6,2.45,1.5,8.1,19.0,236,119
SF/PF,M. Morris Sr.,$3.0k,0,"",PHI,BOS,9,7.2,2.40,1.3,10.0,18.3,224.5,110
SG,Svi Mykhailiuk,$3.0k,3,"",BOS,PHI,6,6.8,2.27,-0.5,3.2,9.3,224.5,114.5
PF/C,T. Antetokounmpo,$3.0k,3,"",MIL,TOR,3,6.4,2.13,0.0,2.0,5.5,228,116.8
SG/SF,Max Christie,$3.3k,0,"",LAL,SAC,7,6.1,1.85,5.3,10.6,20.0,236,117
PG,C. Porter Jr.,$3.0k,1,"",CLE,POR,5,6.0,2.00,1.0,8.1,22.5,217.5,113.8
C,Mike Muscala,$3.0k,1,"",WAS,DAL,12,5.5,1.83,0.0,7.7,17.0,243.5,119.3
SG/SF,AJ Griffin,$3.5k,0,"",ATL,NY,18,4.8,1.36,0.0,4.6,11.3,229.5,115.5
SG/SF,L. Stevens,$3.0k,8,"",BOS,PHI,6,4.5,1.50,3.3,5.7,9.5,224.5,114.5
PG/SG,D. Mitchell,$4.2k,4,"",SAC,LAL,4,4.1,0.98,6.3,18.0,29.3,236,119
SF/PF,E. Bates,$3.0k,3,"",CLE,POR,17,3.8,1.27,0.0,6.8,20.5,217.5,113.8
C,J. Hayes,$3.5k,0,"",LAL,SAC,16,1.3,0.37,2.8,8.5,21.8,236,117
PF/C,G. Antetokounmpo O,$11.1k,1,"",MIL,TOR,3,0.0,0.00,39.3,58.6,71.0,228,116.8
SF/PF,RJ Barrett O,$6.4k,2,"",NY,ATL,23,0.0,0.00,20.8,32.4,40.0,229.5,114
PG/SG,Bradley Beal O,$7.1k,2,"",PHO,MIN,17,0.0,0.00,25.8,30.0,36.0,223.5,113.8
PG/SG,K. Irving O,$8.8k,0,"",DAL,WAS,28,0.0,0.00,29.5,43.6,58.0,243.5,124.3
SG/SF,J. Brown O,$7.8k,1,"",BOS,PHI,6,0.0,0.00,19.5,36.8,42.8,224.5,114.5
PF/C,K. Porzingis O,$7.4k,1,"",BOS,PHI,26,0.0,0.00,16.5,32.6,44.0,224.5,114.5
PF,N. Batum O,$4.2k,2,"",PHI,BOS,16,0.0,0.00,5.5,15.4,26.8,224.5,110
